deep_id,bib_ind_and_in_coll,title,title_alternative_keywords,pub_year,pub_year_display,first_production_date,first_production_date_display,first_publish_date,record_type,theater_type,greg_number,stc_or_wing,stc_or_wing2,play_edition_number,book_edition_number,variant_description,edition,total_editions,leaves,illustration_on_tp_or_frontis,dedication_to,commendatory_verses_by,to_the_reader,argument,char_list,actor_list,blackletter,latin,addition_and_correction_attributions,other_paratexts,sr_entries,format,additional_notes,transcript_title,transcript_author,transcript_performance,transcript_latin,transcript_imprint,transcript_explicit,transcript_colophon,transcript_dedication,transcript_commendatory_verses,transcript_to_the_reader,transcript_printed_license,transcript_general_title,transcript_woodcut,transcript_character_list,transcript_actor_list,transcript_argument,transcript_modern_spelling,display_play_type,display_authors,display_genre,display_booksellers,display_printers,display_publishers,display_companies,display_auspices,errata,imprintlocation
11,,"The Beauty and Good Properties of Women (Calisto and Melebea) (Celestina)",,1525,[c.1525],1527,"1527 [c.1527-1530]",1525,"Single-Play Playbook",None,10a,20721,,1,1,,F1,"1 folio",14,,,,,,,,Yes,,,,,Folio,,"[HT] A new cōmodye in englysh in maner Of an enterlude ryght elygant & full of craft of rethoryk/ wherein is shewd & dyscrybyd as well the bewte & good propertes of women/ as theyr vycys & euyll cōdiciōs/ with a morall cōclusion & exhortacyon to vertew",,,,,,"Iohēs rastell me imprimi fecit Cum priuilegio regali [C3v]",,,,,,,,,,"A new comedy in english in manner of an interlude right elegant and full of craft of rhetoric wherein is showed and described as well the beauty and good properties of women as their vices and evil conditions with a moral conclusion and exhortation to virtue.",Interlude,"Rastell, John (?)","Romantic Interlude",,"Rastell, John",,,,,
12,,Magnificence,,1531,[1531],1515,"1515 [1515-1526]",1531,"Single-Play Playbook",None,11a,22607,,1,1,,F1,"1 folio",30,,,,,,Yes,,Yes,,,,,Folio,"In <i>The Stationers' Company and the Printers of London, 1501-1557</i> (Cambridge: Cambridge UP, 2013), Peter W. M. Blayney dates this edition to ""1531"" (Appendix K, 2:1055).","Magnyfycence, A goodly interlude and a mery","deuysed and made by mayster Skelton/ poet laureate late deceasyd.",,,,,"Cum priuilegio.",,,,,,,"""These be the names of the players"" [H2r]",,,"Magnificence, a goodly interlude and a merry, devised and made my Master Skelton poet laureate late deceased.",Interlude,"Skelton, John","Moral Interlude",,"Treveris, Peter","Rastell, John",,,,
13,,Andria,,1520,[c.1520],1520,"1520 [1516-1533]",1520,"Single-Play Playbook",None,12a,23894,,1,1,,Q1,"1 quarto",26,,,,,,,,Yes,,,,,Quarto,,"[HT<sup>2</sup>] The translacyon out of latin into englysh of the furst comedy ... callyd Andria.","[HT<sup>1</sup>] Terens in englysh.
[HT<sup>2</sup>] of tyrens ",,,,"Finis andrie. [D5v]",,,,,,,,,,,"Terence in English. The translation our of Latin into English of the first comedy of Terence called Andria.","Closet Translation","Anonymous; Terence",Comedy,,"Le Noir, Phillipe (?)",,,,,
14,,"Johan Johan the Husband, Tib His Wife, and Sir Johan the Priest",John,1533,1533,1520,"1520 [1520-1533]",1533,"Single-Play Playbook",None,13a,13298,,1,1,,F1,"1 folio",8,,,,,,,,Yes,,,,,Folio,,"[HT] A mery play betwene Iohan Iohan the husbande/ Tyb his wyfe/ & syr Ihān the preest.",,,,,,"Impryntyd by Wyllyam Rastell/ the .xii. day of February the yere of our lord .M.ccccc. and .xxxiii. Cum priuilegio. [B4v]",,,,,,,,,,"A merry play between Johan Johan the husband, Tyb his wife, and Sir Johan the priest.",Interlude,"Heywood, John (?)","Comic Interlude",,"Rastell, William",,,,,
15,,"The Pardoner and the Friar, the Curate, and Neighbor Pratte",Neighbour,1533,1533,1519,"1519 [1513-1521]",1533,"Single-Play Playbook",None,14a,13299,,1,1,,F1,"1 folio",8,,,,,,,,,,,,,Folio,,"[HT] A mery play betwene the pardoner and the frere/ the curate and neybour Pratte.",,,,,,"Imprynted by Wyllyam Rastell the .v. day of Apryll/ the yere of our lorde .M.CCCCC.XXXIII. Cum priuilegio. [B4v] ",,,,,,,,,,"A merry play between the pardoner and the friar, the curate and neighbor Pratt.",Interlude,"Heywood, John (?)","Comic Interlude",,"Rastell, William",,,,,
16,,"Old Christmas, or Good Order",,1533,[1533],1533,1533,1533,"Single-Play Playbook",None,14.5a,18793.5,,1,1,,F1,"1 folio","[imperfect copy]",,,,,,,,Yes,,,,,Folio,"Imperfect copy: survives in two leaves only.","[no title page]",,,,,,"Imprynted by w. Rastell the yere of our lorde 1533. Cum priuilegio. [no sig.] ",,,,,,,,,,,Interlude,Anonymous,"Moral Interlude",,"Rastell, William",,,,,
17,,"The Play of the Weather",,1533,1533,1528,"1528 [1519-1528]",1533,"Single-Play Playbook",None,15a,13305,,1,1,,F1,"1 folio, 3 quartos",18,,,,,,Yes,,Yes,,,,"Jan 15, 1582: Transferred from late Sampson Awdely (alias for John Awdely) to John Charlewood (conditionally): ""Plaiebookes The weather"".",Folio,,"The play of the wether. A new and a very mery enterlude of all maner wethers","made by Iohñ Heywood,","[in single column] The players names. | Iupiter a god. | Mery reporte the vyce. | The gentylman. | The marchaunt. | The ranger | The water myller. | The wynde myller. | The gentylwoman. | The launder. | A boy the lest that can play.",,,,"Prynted by w. Rastell. 1533. Cum priuilegio. [D6r]",,,,,,,"on title page [A1r]",,,"The play of the weather. A new and a very merry interlude of all manner weathers. Made by John Heywood. The players names. Jupiter a god. Merry report the vice. The gentleman. The merchant. The ranger. The water miller. The wind miller. The gentlewoman. The launder. A boy, the least that can play.",Interlude,"Heywood, John","Comic Interlude",,"Rastell, William",,,,,
18,,"The Play of the Weather",,1544,[1544?],1528,"1528 [1519-1528]",1533,"Single-Play Playbook",None,15b,13305.5,,2,2,,Q1,"1 folio, 3 quartos","24 (?) [imperfect copy]",,,,,,Yes,,Yes,,,,"Jan 15, 1582: Transferred from late Sampson Awdely (alias for John Awdely) to John Charlewood (conditionally): ""Plaiebookes The weather"".",Quarto,"Imperfect copy: lacks all after leaf F3, but since the edition agrees page for page with Greg 15c and Greg 15d, it is probably only missing F4.","The play of the wether. A new and a very mery enterlude of all maner wethers","made by Iohn Heywood.","[in single column] The players names. | Iupiter a god. | Mery  reporte the vyce. | The gentylman. | The marchant. | The ranger. | The water myller. | The wynde myller. | The gentylwoman. | The launder. | A boy the lest that can play.",,,,,,,,,,,"on title page [A1r]",,,"The play of the weather. A new and a very merry interlude of all manner weathers, made by John Heywood. The players names. Jupiter a god. Merry report the vice. The gentleman. The merchant. The ranger. The water miller. The wind miller. The gentlewoman. The launder. A boy, the least that can play.",Interlude,"Heywood, John","Comic Interlude",,"Middleton, William",,,,,
19,,"The Play of the Weather",,1559,[1559?],1528,"1528 [1519-1528]",1533,"Single-Play Playbook",None,15c,13306,,3,3,,Q2,"1 folio, 3 quartos",24,,,,,,Yes,,Yes,,,,"Jan 15, 1582: Transferred from late Sampson Awdely (alias for John Awdely) to John Charlewood (conditionally): ""Plaiebookes The weather"".",Quarto,"In <i>The Stationers' Company and the Printers of London, 1501-1557</i> (Cambridge: Cambridge UP, 2013), Peter W. M. Blayney dates the edition to ""1559?"" and identifies the printer of this edition as the printer of <i>An Envoy from Thomas Smyth</i> (STC 22880.2) (Appendix K, 2:1047).","The Play of the Wether. A New and a very mery enterlude of al maner wethers","made by Iohn Heywood.","[in single column] The players names. | Iupiter a God. | Mery report the vice | The Gentylman. | The marchaunt. | The ranger. | The water myller. | The wynde Myller. | The Gentylwoman. | The Launder. | A boy, the least that can play.",,,,"Imprinted at London in Paules Churche yearde, at the Sygne of the Sunne, by Anthonie Kytson. [F4r]",,,,,,,"on title page [A1r]",,,"The play of the weather. A new and a very merry interlude of all manner weathers, made by John Heywood. The players names. Jupiter a god. Merry report the vice. The gentleman. The merchant. The ranger. The water miller. The wind miller. The gentlewoman. The launder. A boy, the least that can play.",Interlude,"Heywood, John","Comic Interlude",,[unknown],"Kitson, Anthony",,,,"A.3 (Paul's Churchyard - Northeast)"
20,,"The Play of the Weather",,1573,[c.1573],1528,"1528 [1519-1528]",1533,"Single-Play Playbook",None,15d,13307,,4,4,,Q3,"1 folio, 3 quartos",24,,,,,,Yes,,Yes,,,,"Jan 15, 1582: Transferred from late Sampson Awdely (alias for John Awdely) to John Charlewood (conditionally): ""Plaiebookes The weather"".",Quarto,,"The playe of the weather. A newe and a very merye enterlude of al maner wethers","made by Ihon Heywoode.","[in single column] The players names | Iupiter a God. | Mery report the vyce. | The Gentleman. | The Marchante. | The Ranger. | The Water Miller. | The Winde Miller. | The Gentlewoman. | The Launder. | A boye the leste that can playe.",,,,"Imprinted at London by Ihon Awdeley dwelling in litle Britayne streete, beyonde Aldersgate. [F4r]",,,,,,,"on title page [A1r]",,,"The play of the weather. A new and a very merry interlude of all manner weathers, made by John Heywood. The players names. Jupiter a god. Merry report the vice. The gentleman. The merchant. The ranger. The water miller. The wind miller. The gentlewoman. The launder. A boy, the least that can play.",Interlude,"Heywood, John","Comic Interlude",,"Awdely, John",,,,,"F.4 (Aldersgate Without - Little Britain)"
21,,"A Play of Love",,1534,1534,1534,"1534 [1533-1534]",1534,"Single-Play Playbook",None,16a,13303,,1,1,,F1,"1 folio, 1 quarto",20,,,,,,Yes,,Yes,,,,"c. Apr-May, 1563: Enter to Thomas Colwell: ""these ballett<i>es</i> folowynge / ... of loue"".<br />Jan 15, 1582: Transferred from late Sampson Awdely (alias for John Awdely) to John Charlewood (conditionally): ""Plaiebookes ... Love"".",Folio,,"A play of loue, A newe and a mery enterlude concernyng pleasure and payne in loue,","made by Ihoñ Heywood.","The players names. [in single column] A man a louer not beloued. | A woman beloued not louyng. | A man a louer and beloued. | The vyse nother  louer nor beloued.",,,,"Prynted by. w. Rastell M.ccccc.xxxiiii. Cum priuilegio Regali. [E4r] ",,,,,,,"on title page [A1r]",,,"A play of love a new and a merry interlude concerning pleasure and pain in love made by john heywood the players' names a man a lover not beloved a woman beloved not loving a man a lover and beloved the vice neither lover nor beloved","Inns of Court (?)","Heywood, John",Disputation,,"Rastell, William",,,,,
22,,"A Play of Love",,1548,[1548?],1534,"1534 [1533-1534]",1534,"Single-Play Playbook",None,16b,13304,,2,2,,Q1,"1 folio, 1 quarto","28 (?) [imperfect copy]",,,,,,,,Yes,,,,"c. Apr-May, 1563: Enter to Thomas Colwell: ""these ballett<i>es</i> folowynge / ... of loue"".<br />Jan 15, 1582: Transferred from late Sampson Awdely (alias for John Awdely) to John Charlewood (conditionally): ""Plaiebookes ... Love"".",Quarto,"Imperfect copy: lacks title leaf A1. In <i>The Stationers' Company and the Printers of London, 1501-1557</i> (Cambridge: Cambridge UP, 2013), Peter W. M. Blayney dates this edition to ""1548?"" (Appendix K, 2:1047).","[no title page]",,,,,,"Printed at London in Farster Laen by Iohñ Waley. Cum priuilegio ad imprimendum solum. [G4r] ",,,,,,,,,,,"Inns of Court (?)","Heywood, John",Disputation,,"Copland, William (?)","Walley, John",,,,"G.3 (Aldersgate Within - Foster Lane)"
23,,"Pater, Filius, et Uxor, or The Prodigal Son",Vxor,1530,[1530?],1530,"1530 [c.1530-1534(?)]",1530,"Single-Play Playbook",None,19a,20765.5,,1,1,,F1,"1 folio","[imperfect copy]",,,,,,,,Yes,,,,,Folio,"Imperfect copy: survives in a single leaf only.","[no title page]",,,,,,,,,,,,,,,,,Interlude,Anonymous,Interlude,,"Rastell, William",,,,,
24,,"The Interlude of Youth",,1530,[c.1530],1514,"1514 [1513-1514]",1530,"Single-Play Playbook",None,20a,14111,,1,1,,Q1,"3 quartos","12 (?) [imperfect copy]","Three woodcuts of figures on title page, with blank labels",,,,,,,Yes,,,,"c. Aug-Sep, 1557: Entered to John Walley: ""these bokes Called ... youghte charyte and humylyte"".<br />Jan 15, 1582: Transferred from late Sampson Awdely (alias for John Awdely) to John Charlewood (conditionally): ""Plaiebookes ... youthe"".",Quarto,"Imperfect copy: lacks everything after gathering A.  Since the fragment agrees page for page with Greg 20c, the edition presumably had the same number of leaves and perhaps the same collation (A-C<sup>4</sup>).","[HT] Thenterlude of youth,",,,,,,,,,,,,,,,,"The interlude of youth",Interlude,Anonymous,"Moral Interlude",,"Worde, Wynkyn de",,,,,
25,,"The Interlude of Youth",,1557,[1557],1514,"1514 [1513-1514]",1530,"Single-Play Playbook",None,20b,14111a,,2,2,,Q2,"3 quartos",12,"Woodcut of two figures on title page, with ""Charitie"" and ""Youth"" printed in labels",,,,,,,Yes,,,,"c. Aug-Sep, 1557: Entered to John Walley: ""these bokes Called ... youghte charyte and humylyte"".<br />Jan 15, 1582: Transferred from late Sampson Awdely (alias for John Awdely) to John Charlewood (conditionally): ""Plaiebookes ... youthe"".",Quarto,,"[HT] Thēterlude of youth.",,,,,,"Imprinted at London, by Iohn waley dwellyng in Foster lane. [C4v] ",,,,,,,,,,"The interlude of youth",Interlude,Anonymous,"Moral Interlude",,"King, John (?)","Walley, John",,,,"G.3 (Aldersgate Within - Foster Lane)"
26,,"The Interlude of Youth",,1565,[1565?],1514,"1514 [1513-1514]",1530,"Single-Play Playbook",None,20c,14112,,3,3,,Q3,"3 quartos",12,"Three woodcuts of figures on title page, with ""Charite"" and ""Youth"" printed in two of the labels",,,,,,,Yes,,,,"c. Aug-Sep, 1557: Entered to John Walley: ""these bokes Called ... youghte charyte and humylyte"".<br />Jan 15, 1582: Transferred from late Sampson Awdely (alias for John Awdely) to John Charlewood (conditionally): ""Plaiebookes ... youthe"".",Quarto,,"[HT] The Enterlude of Youth.",,,,,,"Imprented at London in Lothbury ouer against Sainct Margarytes church by me Wyllyam Copland. [C4v] ",,,,,,,,,,"The interlude of youth",Interlude,Anonymous,"Moral Interlude",,"Copland, William",,,,,"H.9 (Cripplegate and Moorgate Within - Lothbury)"
27,,"The Four P's",Ps,1544,[1544?],1520,"1520 [c.1520-1522]",1544,"Single-Play Playbook",None,21a,13300,,1,1,,Q1,"3 quartos",20,"Three woodcuts of figures on title page, with blank labels",,,,,,,Yes,,,,"Jan 15, 1582: Transferred from late Sampson Awdely (alias for John Awdely) to John Charlewood (conditionally): ""Plaiebookes ... iiijP"".",Quarto,,"The playe called the foure PP. A newe and a very mery enterlude of A palmer. A pardoner. A potycary. A pedler.","Made by Iohñ Heewood",,,,,"Imprynted at London in Fletestrete at the sygne of the George by Wyllyam Myddylton. [E4v]",,,,,,,,,,"The play called the four p's a new and a very merry interlude of a palmer a pardoner an apothecary a peddler made by john heywood",Interlude,"Heywood, John","Comic Interlude",,"Middleton, William",,,,,"W.9 (Fleet St. - St. Dunstan's Church / Clifford's Inn)"
28,,"The Four P's",Ps,1560,[1560?],1520,"1520 [c.1520-1522]",1544,"Single-Play Playbook",None,21b,13301,,2,2,,Q2,"3 quartos",20,,,,,,,,Yes,,,,"Jan 15, 1582: Transferred from late Sampson Awdely (alias for John Awdely) to John Charlewood (conditionally): ""Plaiebookes ... iiijP"".",Quarto,,"The playe called the foure P  A new and very mery enterlude of A Palmer. A  pardoner. A Poticary. A Pedler. ","Made by Iohn Heewode.",,,,,"Imprinted at London by Wyllyam Copland. [E4v]",,,,,,,,,,"The play called the four p's a new and very merry interlude of a palmer a pardoner an apothecary a peddler made by john heywood",Interlude,"Heywood, John","Comic Interlude",,"Copland, William",,,,,
29,,"The Four P's",Ps,1569,1569,1520,"1520 [c.1520-1522]",1544,"Single-Play Playbook",None,21c,13302,,3,3,,Q3,"3 quartos",20,,,,,,,,Yes,,,,"Jan 15, 1582: Transferred from late Sampson Awdely (alias for John Awdely) to John Charlewood (conditionally): ""Plaiebookes ... iiijP"".",Quarto,,"The Play called the foure P. A very mery Enterlude of A Palmer. A Pardoner. A Poticary. A Pedler.",,,,"Imprinted at London  at the long Shop adioyning vnto S. Mildreds Churche in the Pultrie, by Iohn Allde. Anno Domini. 1569. Septembris. 14.","FINIS q Ihon Heywood. [E4r]","Imprinted at London at the long Shop adioyning vnto S. Mildreds Churche in the Pultrie, by John Allde. [E4r]",,,,,,,,,,"The play called the four p's a very merry interlude of a palmer a pardoner an apothecary a peddler imprinted at london at the long shop adjoining unto St. Mildred's Church in the poultry by john allde. Anno domini 1569 septembris 14",Interlude,"Heywood, John","Comic Interlude",,"Allde, John",,,,,"O.1 (Royal Exchange - St. Mildred's Church)"
30,,"The Four Cardinal Virtues",,1545,[c.1545],1542,"1542 [1537-1547]",1545,"Single-Play Playbook",None,21.5a,14109.7,,1,1,,Q1,"1 quarto","[imperfect copy]",,,,,,,,Yes,,,"Woodcut [C4v]",,Quarto,"Imperfect copy: lacks everything before gathering C.","[no title page]",,,,,"Thus endeth the enterlude of the .iiii. cardynal vertues, & y<sup>e</sup> vyces contrarye to them. [C4v]","Imprynted at London in Fletestrete. at the signe of y<sup>e</sup> George by Wyllyam Myddylton [C4v]",,,,,,,,,,,Interlude,Anonymous,"Moral Interlude",,"Middleton, William",,,,,"W.9 (Fleet St. - St. Dunstan's Church / Clifford's Inn)"
31,,"The Chief Promises of God unto Man (God's Promises)","Gods God",1547,[1547?],1538,1538,1547,"Single-Play Playbook",None,22a,1305,,1,1,,Q1,"2 quartos",20,,,,,,Yes,,Yes,Yes,,,,Quarto,,"A Tragedye or enterlude manyfestyng the chefe promyses of God vnto man by all ages in the olde lawe, from the fall of Adam to the incarnacyon of the lorde Iesus Christ. ... In the worde (whych now is Christ the eternall sonne of God) was lyfe from the begynnynge, and that lyfe was the lyght of men. Thys lyght yet shyneth in the darkenesse, but the darkenesse comprehendeth it not. Ioannis primo.","Compyled by Iohan Bale, Anno Domini M.D XXXUIII.","Interlocutores. [in double columns] Pater cœlestis. Adam primus homo. | Iustus Noah.  Abraham fidelis. | Moses sanctus.  Dauid rex pius. | Esaias propheta.  Ioannes Baptista. [in single column, centered below others] Baleus Prolocutor.",,,"Thus endeth thys Tragedy or enterlude manyfestynge the chefe promyses of God vnto Man by all ages in the olde lawe, from the fall of Adam, to the incarnacyon of the lorde Iesus Christ. Compyled by Iohan Bale. Anno domini, M. D. XXXVIII. [E4v]",,,,,,,,"on title page [A1r]",,,"A tragedy or interlude manifesting the chief promises of god unto man by all ages in the old law from the fall of adam to the incarnation of the lord jesus christ compiled by john bale anno domini MDXXXVIII in the word (which now is christ the eternal son of god) was life from the beginning and that life was the light of men. This light yet shineth in the darkness but the darkness comprehendeth it not. Joannis primo. Interlocutores pater coelestis adam primus homo iustus noah abraham fidelis moses sanctus david rex pius esaias propheta ioannes baptista baleus prolocutor",Interlude,"Bale, John","Anti-Catholic Mystery",,"Straten, Derick van der",,,,,
